Storm_ID,Year,Storm_Name,Basin,Date,Time_UTC,Latitude,Longitude,Max_Sustained_Wind_kt,Wind_Speed_kmh,Central_Pressure_hPa,IMD_Grade,Landfall_District,Landfall_State,Rainfall_mm,Affected_Areas,Number_of_Deaths,Numbers_of_Missing
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-08,18:00,15.79,69.94,48.2,89.3,985.4,SCS (Severe Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-09,00:00,15.95,69.9,49.2,91.2,984.8,SCS (Severe Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-09,06:00,16.11,69.92,50.1,92.7,984.2,SCS (Severe Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-09,12:00,16.24,69.95,50.9,94.3,983.6,SCS (Severe Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-09,18:00,16.43,69.98,52.0,96.2,983.0,SCS (Severe Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-10,00:00,16.58,69.96,52.0,96.3,982.6,SCS (Severe Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-10,06:00,16.73,69.95,48.6,89.9,985.1,SCS (Severe Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-10,12:00,16.85,69.92,44.6,82.5,987.6,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-10,18:00,17.04,69.85,41.8,77.4,990.1,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-11,00:00,17.2,69.83,38.7,71.7,992.6,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-11,06:00,17.32,69.78,34.7,64.2,995.1,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-11,12:00,17.5,69.74,31.5,58.3,997.6,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-11,18:00,17.63,69.68,27.5,51.0,1000.1,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-12,00:00,17.75,69.61,25.4,47.1,1002.6,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-12,06:00,17.93,69.56,22.7,42.1,1005.1,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-12,12:00,18.05,69.51,19.9,36.9,1007.6,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-12,18:00,18.18,69.5,15.6,28.9,1008.0,L (Low),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-13,00:00,18.35,69.46,15.0,27.8,1008.0,L (Low),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-13,06:00,18.46,69.46,15.0,27.8,1008.0,L (Low),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-13,12:00,18.62,69.45,15.0,27.8,1008.0,L (Low),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-13,18:00,18.78,69.46,15.0,27.8,1008.0,L (Low),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-14,00:00,18.97,69.48,15.0,27.8,1008.0,L (Low),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-16,00:00,6.27,63.32,22.6,41.9,1002.3,D (Depression),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-16,06:00,6.38,63.24,25.7,47.6,1000.9,D (Depression),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-16,12:00,6.44,63.17,28.6,52.9,999.1,DD (Deep Depression),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-16,18:00,6.57,63.12,31.4,58.1,997.4,DD (Deep Depression),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-17,00:00,6.68,63.0,33.8,62.6,996.0,DD (Deep Depression),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-17,06:00,6.79,62.86,36.1,66.8,994.5,CS (Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-17,12:00,6.88,62.82,38.5,71.4,992.7,CS (Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-17,18:00,6.94,62.73,41.6,77.0,991.0,CS (Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-18,00:00,7.03,62.66,44.4,82.3,989.7,CS (Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-18,06:00,7.16,62.59,46.8,86.6,988.4,CS (Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-18,12:00,7.28,62.5,49.0,90.8,987.0,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-18,18:00,7.37,62.39,52.2,96.7,985.2,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-19,00:00,7.45,62.29,55.2,102.2,983.6,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-19,06:00,7.5,62.23,57.5,106.5,981.8,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-19,12:00,7.61,62.14,60.1,111.4,980.4,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-19,18:00,7.69,62.08,62.4,115.6,978.6,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-20,00:00,7.78,62.0,65.3,121.0,977.1,VSCS (Very Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-20,06:00,7.86,61.9,68.4,126.7,975.5,VSCS (Very Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-20,12:00,7.97,61.84,71.3,132.0,973.9,VSCS (Very Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-20,18:00,8.08,61.74,74.0,137.0,972.1,VSCS (Very Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-21,00:00,8.18,61.69,74.0,137.0,970.4,VSCS (Very Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-21,06:00,8.26,61.65,65.5,121.2,972.9,VSCS (Very Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-21,12:00,8.41,61.58,53.8,99.7,975.4,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-21,18:00,8.49,61.47,39.1,72.5,977.9,CS (Cyclonic Storm),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-22,00:00,8.55,61.41,30.6,56.7,980.4,DD (Deep Depression),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-22,06:00,8.62,61.34,24.4,45.2,982.9,D (Depression),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-22,12:00,8.69,61.29,15.7,29.1,985.4,L (Low),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-22,18:00,8.71,61.19,15.0,27.8,987.9,L (Low),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-23,00:00,8.78,61.2,15.0,27.8,990.4,L (Low),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-02-UNNA,1995,Unnamed-2,ARB,1995-11-23,06:00,8.86,61.15,15.0,27.8,992.9,L (Low),East Midnapore,West Bengal,68,Coastal East Midnapore,3,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-13,00:00,11.36,92.83,21.3,39.4,1003.3,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-13,06:00,11.41,92.78,22.4,41.4,1002.5,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-13,12:00,11.49,92.71,23.6,43.8,1001.8,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-13,18:00,11.55,92.68,24.9,46.0,1001.1,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-14,00:00,11.55,92.69,26.2,48.6,1000.3,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-14,06:00,11.58,92.68,27.3,50.5,999.6,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-14,12:00,11.54,92.64,28.2,52.2,998.7,DD (Deep Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-14,18:00,11.54,92.65,29.4,54.4,997.9,DD (Deep Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-15,00:00,11.6,92.58,30.6,56.6,997.1,DD (Deep Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-15,06:00,11.64,92.48,32.0,59.2,996.4,DD (Deep Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-15,12:00,11.63,92.43,33.1,61.2,995.5,DD (Deep Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-15,18:00,11.72,92.35,34.0,63.0,994.7,DD (Deep Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-16,00:00,11.76,92.3,35.0,64.8,993.8,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-16,06:00,11.81,92.27,36.1,66.9,993.1,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-16,12:00,11.81,92.23,37.5,69.4,992.4,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-16,18:00,11.87,92.2,38.8,71.9,991.5,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-17,00:00,11.93,92.11,39.9,73.9,990.8,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-17,06:00,12.05,92.07,41.0,75.8,990.1,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-17,12:00,12.05,92.01,41.9,77.6,989.4,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-17,18:00,12.12,92.01,43.1,79.7,988.6,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-18,00:00,12.11,92.01,44.5,82.4,987.7,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-18,06:00,12.16,91.96,45.8,84.9,987.0,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-18,12:00,12.16,91.89,47.2,87.3,986.3,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-18,18:00,12.19,91.86,48.2,89.2,985.4,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-19,00:00,12.27,91.8,49.2,91.2,984.7,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-19,06:00,12.25,91.78,50.5,93.6,983.9,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-19,12:00,12.26,91.68,51.0,94.5,983.2,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-19,18:00,12.27,91.61,48.1,89.1,985.7,SCS (Severe Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-20,00:00,12.31,91.59,44.9,83.2,988.2,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-20,06:00,12.36,91.54,38.5,71.3,990.7,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-20,12:00,12.36,91.53,34.7,64.2,993.2,CS (Cyclonic Storm),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-20,18:00,12.43,91.49,31.3,58.0,995.7,DD (Deep Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-21,00:00,12.5,91.43,26.7,49.5,998.2,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-21,06:00,12.5,91.37,23.5,43.5,1000.7,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-21,12:00,12.54,91.32,20.5,38.0,1003.2,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-21,18:00,12.61,91.3,17.1,31.7,1005.7,D (Depression),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-22,00:00,12.63,91.23,15.0,27.8,1008.0,L (Low),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-22,06:00,12.59,91.19,15.0,27.8,1008.0,L (Low),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-03-UNNA,1995,Unnamed-3,BOB,1995-12-22,12:00,12.63,91.16,15.0,27.8,1008.0,L (Low),East Midnapore,West Bengal,126,Coastal East Midnapore,7,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-14,00:00,12.38,90.53,20.6,38.1,1003.6,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-14,06:00,12.5,90.45,21.3,39.4,1003.1,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-14,12:00,12.61,90.32,22.0,40.8,1002.6,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-14,18:00,12.72,90.18,22.9,42.4,1002.1,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-15,00:00,12.85,90.04,23.6,43.6,1001.6,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-15,06:00,12.97,89.87,24.3,44.9,1001.2,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-15,12:00,13.09,89.77,25.1,46.4,1000.8,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-15,18:00,13.2,89.62,25.7,47.6,1000.4,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-16,00:00,13.3,89.55,26.3,48.8,1000.0,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-16,06:00,13.37,89.47,27.2,50.4,999.6,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
NIO-1995-04-UNNA,1995,Unnamed-4,BOB,1995-05-16,12:00,13.51,89.38,27.9,51.6,999.0,D (Depression),Bhadrak,Odisha,58,Coastal Bhadrak,1,0
